Label,TRACK_ID,NUMBER_SPOTS,NUMBER_GAPS,LONGEST_GAP,NUMBER_SPLITS,NUMBER_MERGES,NUMBER_COMPLEX,TRACK_DURATION,TRACK_START,TRACK_STOP,TRACK_DISPLACEMENT,TRACK_INDEX,TRACK_X_LOCATION,TRACK_Y_LOCATION,TRACK_Z_LOCATION,TRACK_MEAN_SPEED,TRACK_MAX_SPEED,TRACK_MIN_SPEED,TRACK_MEDIAN_SPEED,TRACK_STD_SPEED,TRACK_MEAN_QUALITY,TRACK_MAX_QUALITY,TRACK_MIN_QUALITY,TRACK_MEDIAN_QUALITY,TRACK_STD_QUALITY
Track_5498,2694,28,0,0,0,0,0,54,232,286,0.194,2694,48.741,34.403,0,0.019,0.049,0.001,0.020,0.012,24.355,35.709,11.883,25.656,6.371
Track_5499,2695,15,0,0,0,0,0,28,236,264,0.126,2695,44.276,36.150,0,0.013,0.026,0.006,0.011,0.007,25.620,35.947,11.058,24.762,6.498
Track_5500,2696,66,1,1,5,0,0,62,238,300,0.148,2696,47.072,35.414,0,0.053,0.235,0.002,0.037,0.054,117.916,250.794,12.317,122.142,50.882
Track_5501,2697,32,0,0,0,0,0,62,238,300,0.073,2697,34.665,36.126,0,0.030,0.130,9.722E-4,0.013,0.036,41.311,66.136,10.636,40.375,16.071
Track_5502,2698,35,0,0,1,0,0,64,236,300,0.406,2698,37.265,38.035,0,0.029,0.229,0.004,0.017,0.042,57.371,116.001,26.495,45.394,25.138
Track_5503,2699,7,1,1,0,0,0,14,238,252,0.234,2699,52.297,37.622,0,0.029,0.072,0.005,0.023,0.023,27.112,40.343,11.969,24.999,10.386
Track_5504,2700,6,0,0,0,0,0,10,232,242,0.176,2700,36.268,36.777,0,0.033,0.049,0.020,0.031,0.011,35.720,49.257,20.897,36.181,8.545
Track_5505,2701,37,0,0,0,0,0,72,228,300,0.088,2701,54.325,39.089,0,0.012,0.036,0.002,0.012,0.008,126.690,205.672,10.882,164.977,65.050
Track_5506,2702,8,1,1,0,0,0,16,236,252,0.062,2702,34.248,39.118,0,0.055,0.115,0.029,0.041,0.030,27.054,48.686,11.206,27.750,11.815
Track_5507,2703,37,0,0,0,0,0,72,228,300,0.088,2703,50.308,39.089,0,0.012,0.036,0.002,0.012,0.008,126.690,205.672,10.882,164.977,65.050
Track_5508,2704,4,0,0,0,0,0,6,238,244,0.052,2704,48.939,38.789,0,0.040,0.054,0.014,0.051,0.022,22.386,27.509,16.585,25.806,4.447
Track_5509,2705,4,0,0,0,0,0,6,240,246,0.337,2705,42.371,29.194,0,0.085,0.195,0.025,0.034,0.096,39.020,69.189,18.737,39.147,18.853
Track_5510,2706,38,1,1,2,0,0,60,240,300,0.715,2706,45.131,33.507,0,0.047,0.224,0.003,0.026,0.048,53.340,92.668,11.523,60.865,22.057
Track_5511,2707,31,0,0,0,0,0,60,240,300,0.179,2707,38.179,35.341,0,0.015,0.049,0.002,0.013,0.011,84.326,157.165,16.303,87.151,34.832
Track_5512,2708,2,0,0,0,0,0,2,240,242,0.031,2708,47.220,36.204,0,0.016,0.016,0.016,0.016,NaN,18.812,19.095,18.529,19.095,0.283
Track_5513,2709,4,1,1,0,0,0,8,240,248,0.086,2709,32.574,38.039,0,0.023,0.040,0.012,0.017,0.015,11.623,13.172,10.615,11.829,1.002
Track_5514,2710,2,0,0,0,0,0,2,240,242,0.060,2710,39.861,38.256,0,0.030,0.030,0.030,0.030,NaN,14.211,14.612,13.810,14.612,0.401
Track_5515,2711,2,0,0,0,0,0,2,240,242,0.149,2711,33.211,37.236,0,0.074,0.074,0.074,0.074,NaN,11.237,11.888,10.585,11.888,0.652
Track_5516,2712,2,0,0,0,0,0,2,240,242,0.063,2712,41.446,39.878,0,0.032,0.032,0.032,0.032,NaN,43.057,49.532,36.583,49.532,6.474
Track_5517,2713,2,0,0,0,0,0,2,240,242,0.025,2713,32.454,44.594,0,0.013,0.013,0.013,0.013,NaN,13.257,13.290,13.224,13.290,0.033
Track_5518,2714,2,0,0,0,0,0,2,240,242,0.344,2714,33.622,46.135,0,0.172,0.172,0.172,0.172,NaN,22.443,31.227,13.659,31.227,8.784
Track_5519,2715,31,0,0,0,0,0,60,240,300,0.173,2715,43.018,46.516,0,0.021,0.053,0.003,0.019,0.014,76.805,127.358,13.985,79.809,29.870
Track_5520,2716,14,0,0,0,0,0,26,240,266,0.244,2716,25.124,47.635,0,0.022,0.076,0.005,0.019,0.019,17.123,21.306,12.226,17.338,2.597
Track_5521,2717,2,0,0,0,0,0,2,240,242,0.031,2717,37.983,46.866,0,0.015,0.015,0.015,0.015,NaN,21.504,22.065,20.943,22.065,0.561
Track_5522,2718,2,0,0,0,0,0,2,240,242,0.167,2718,43.348,48.660,0,0.083,0.083,0.083,0.083,NaN,47.147,55.297,38.998,55.297,8.150
Track_5523,2719,2,0,0,0,0,0,2,240,242,0.091,2719,44.620,50.775,0,0.046,0.046,0.046,0.046,NaN,121.349,136.947,105.751,136.947,15.598
Track_5524,2720,10,0,0,0,0,0,18,240,258,0.494,2720,32.477,52.166,0,0.108,0.189,0.011,0.147,0.076,23.304,54.339,10.380,24.871,11.780
Track_5525,2721,5,0,0,0,0,0,8,240,248,0.294,2721,39.066,52.256,0,0.038,0.057,0.018,0.049,0.018,70.283,81.842,53.485,72.734,10.877
Track_5526,2722,5,1,1,0,0,0,10,234,244,0.008,2722,18.900,55.076,0,0.012,0.018,0.006,0.014,0.005,13.072,17.398,10.150,10.993,3.107
Track_5527,2723,5,0,0,0,0,0,8,240,248,0.541,2723,34.980,56.319,0,0.079,0.220,0.022,0.050,0.095,17.306,22.574,13.747,15.422,3.315
Track_5528,2724,10,1,1,0,0,0,20,240,260,0.074,2724,32.954,60.260,0,0.027,0.088,0.004,0.020,0.026,74.436,91.477,56.643,77.514,11.768
Track_5529,2725,3,0,0,0,0,0,4,240,244,0.434,2725,41.218,18.078,0,0.140,0.244,0.035,0.244,0.148,13.962,15.583,11.232,15.070,1.942
