Label,TRACK_ID,NUMBER_SPOTS,NUMBER_GAPS,LONGEST_GAP,NUMBER_SPLITS,NUMBER_MERGES,NUMBER_COMPLEX,TRACK_DURATION,TRACK_START,TRACK_STOP,TRACK_DISPLACEMENT,TRACK_INDEX,TRACK_X_LOCATION,TRACK_Y_LOCATION,TRACK_Z_LOCATION,TRACK_MEAN_SPEED,TRACK_MAX_SPEED,TRACK_MIN_SPEED,TRACK_MEDIAN_SPEED,TRACK_STD_SPEED,TRACK_MEAN_QUALITY,TRACK_MAX_QUALITY,TRACK_MIN_QUALITY,TRACK_MEDIAN_QUALITY,TRACK_STD_QUALITY
Track_31,31,173,2,1,0,0,0,8.700,0.000,8.700,0.018,31,9.573,11.845,0,0.516,1.351,0.054,0.464,0.273,14.354,21.825,10.028,14.275,2.005
Track_32,32,461,0,0,0,0,0,23.000,0.000,23.000,0.801,32,13.231,1.133,0,0.447,6.921,0.005,0.335,0.559,61.953,140.394,10.165,65.836,24.037
Track_33,33,20,0,0,0,0,0,0.950,0.100,1.050,0.091,33,8.488,1.115,0,0.629,1.774,0.058,0.549,0.404,22.504,31.149,13.499,23.376,5.573
Track_34,34,77,0,0,0,0,0,3.800,0.000,3.800,0.054,34,9.986,1.222,0,0.653,3.050,0.037,0.599,0.516,24.027,33.659,15.789,23.662,4.236
Track_35,35,574,1,1,0,0,0,28.700,0.000,28.700,0.185,35,4.543,1.370,0,0.603,3.243,0.034,0.516,0.388,25.433,52.391,10.403,24.106,9.066
Track_36,36,28,3,1,0,0,0,1.500,0.000,1.500,0.062,36,10.740,11.814,0,0.847,1.718,0.080,0.764,0.472,13.859,18.604,10.912,13.370,1.979
Track_37,37,10,0,0,0,0,0,0.450,0.000,0.450,0.082,37,5.177,1.598,0,1.206,2.505,0.216,1.291,0.740,14.292,17.294,10.332,15.322,2.080
Track_38,38,1670,1,1,0,0,0,83.500,0.000,83.500,0.509,38,12.683,1.557,0,0.316,2.190,0.009,0.280,0.207,56.329,127.581,10.791,55.277,19.712
Track_39,39,14,0,0,0,0,0,0.650,0.000,0.650,0.256,39,5.819,1.695,0,1.238,7.324,0.200,0.597,1.909,102.540,131.656,41.996,103.556,21.210
Track_40,40,10,0,0,0,0,0,0.450,0.000,0.450,0.156,40,12.532,11.848,0,1.631,3.348,0.084,1.476,1.188,13.232,17.490,10.195,13.416,2.002
Track_41,41,506,2,1,0,0,0,25.350,0.000,25.350,0.349,41,17.095,1.667,0,0.617,1.886,0.032,0.567,0.334,17.549,28.503,10.240,16.907,4.026
Track_42,42,710,0,0,0,0,0,35.450,0.000,35.450,0.167,42,7.333,1.918,0,0.434,1.236,0.003,0.398,0.229,43.669,84.179,20.026,41.727,13.355
Track_43,43,375,1,1,0,0,0,18.750,0.000,18.750,0.041,43,17.809,11.963,0,0.364,1.252,0.016,0.327,0.207,27.664,43.363,10.334,28.821,7.495
Track_44,44,228,1,1,0,0,0,11.400,0.000,11.400,0.739,44,5.809,1.624,0,0.727,5.985,0.010,0.563,0.662,94.154,160.005,19.899,96.348,29.994
Track_45,45,91,1,1,0,0,0,4.550,0.000,4.550,0.064,45,6.803,2.185,0,0.675,1.825,0.047,0.626,0.390,18.642,29.828,11.272,18.583,3.927
Track_46,46,10,0,0,0,0,0,0.450,0.000,0.450,0.114,46,9.337,2.289,0,2.583,8.045,0.401,0.872,3.186,12.046,14.928,10.274,11.948,1.705
Track_47,47,5,0,0,0,0,0,0.200,0.100,0.300,0.040,47,4.482,2.291,0,1.061,1.448,0.469,1.438,0.473,13.234,15.893,10.438,12.878,2.070
Track_48,48,36,3,1,0,0,0,1.900,0.000,1.900,0.117,48,18.533,11.997,0,1.317,5.542,0.278,1.106,0.948,14.582,26.584,10.268,14.322,3.389
Track_49,49,97,0,0,0,0,0,4.800,0.000,4.800,0.593,49,8.681,2.524,0,0.702,9.407,0.023,0.535,0.991,26.418,57.251,10.654,18.311,14.249
Track_50,50,61,1,1,0,0,0,3.050,0.000,3.050,0.084,50,20.075,12.112,0,0.596,1.145,0.077,0.565,0.264,15.230,19.244,10.818,15.638,2.162
Track_51,51,300,0,0,0,0,0,14.950,0.000,14.950,0.107,51,13.681,12.101,0,0.437,1.211,0.010,0.395,0.241,23.238,38.089,10.784,23.378,6.725
Track_52,52,144,0,0,0,0,0,7.150,0.000,7.150,0.475,52,16.861,12.161,0,0.877,5.158,0.070,0.757,0.690,19.028,29.847,11.419,18.953,3.306
Track_53,53,166,0,0,0,0,0,8.250,0.000,8.250,0.333,53,4.782,6.284,0,0.522,6.969,0.050,0.444,0.581,48.502,67.603,15.339,49.672,10.201
Track_54,54,208,0,0,0,0,0,10.350,0.000,10.350,0.035,54,12.077,2.600,0,0.557,1.356,0.036,0.513,0.298,31.596,45.334,22.775,31.352,3.658
Track_55,55,1321,2,1,0,0,0,66.100,0.000,66.100,0.123,55,15.873,2.635,0,0.518,1.886,0.008,0.459,0.314,26.997,50.133,10.148,27.245,8.007
Track_56,56,26,0,0,0,0,0,1.250,0.000,1.250,0.051,56,5.379,6.343,0,1.404,6.043,0.193,0.812,1.582,24.221,35.227,12.206,27.069,6.684
Track_57,57,883,4,1,0,0,0,44.300,0.000,44.300,0.173,57,5.513,12.404,0,0.664,4.662,0.022,0.578,0.450,18.800,30.907,10.469,18.719,3.613
Track_58,58,10,1,1,0,0,0,0.500,0.150,0.650,0.217,58,13.518,2.700,0,2.063,5.678,0.566,1.041,1.785,15.131,17.513,12.257,15.931,1.716
Track_59,59,102,0,0,0,0,0,5.050,0.000,5.050,0.370,59,14.447,6.390,0,0.680,5.149,0.021,0.449,0.914,21.120,40.777,14.876,20.801,3.621
Track_60,60,23,0,0,0,0,0,1.100,0.000,1.100,0.105,60,8.761,3.130,0,1.545,3.679,0.279,1.359,0.949,34.690,49.190,21.551,33.810,8.496
Track_61,61,809,0,0,0,0,0,40.400,0.000,40.400,0.449,61,15.990,12.310,0,0.561,3.642,0.016,0.487,0.396,26.528,53.691,10.049,26.064,7.776
Track_62,62,161,0,0,0,0,0,8.000,0.000,8.000,0.113,62,6.366,6.461,0,0.395,1.975,0.044,0.337,0.282,41.581,106.603,21.147,38.916,12.368
Track_63,63,5,0,0,0,0,0,0.200,0.000,0.200,0.251,63,16.647,3.587,0,4.482,6.183,0.340,6.102,2.790,11.861,14.100,10.385,11.013,1.565
Track_64,64,47,2,1,0,0,0,2.400,0.000,2.400,0.157,64,0.342,12.430,0,0.902,2.229,0.063,0.813,0.531,16.356,23.603,11.003,16.535,2.989
Track_65,65,1512,17,1,0,0,0,76.400,0.000,76.400,0.189,65,5.231,3.842,0,0.477,2.370,0.003,0.432,0.274,15.784,28.401,10.229,15.114,3.259
Track_66,66,554,0,0,0,0,0,27.650,0.000,27.650,0.304,66,4.363,6.649,0,0.579,6.245,0.015,0.418,0.565,53.500,81.657,30.431,52.596,9.763
Track_67,67,633,0,0,0,0,0,31.600,0.000,31.600,0.103,67,17.327,3.892,0,0.406,1.379,0.002,0.357,0.240,17.508,23.880,10.611,17.543,2.223
Track_68,68,186,0,0,0,0,0,9.250,0.000,9.250,0.122,68,10.056,12.660,0,0.835,3.624,0.028,0.673,0.595,24.600,41.294,10.366,24.771,5.506
