Label,TRACK_ID,NUMBER_SPOTS,NUMBER_GAPS,LONGEST_GAP,NUMBER_SPLITS,NUMBER_MERGES,NUMBER_COMPLEX,TRACK_DURATION,TRACK_START,TRACK_STOP,TRACK_DISPLACEMENT,TRACK_INDEX,TRACK_X_LOCATION,TRACK_Y_LOCATION,TRACK_Z_LOCATION,TRACK_MEAN_SPEED,TRACK_MAX_SPEED,TRACK_MIN_SPEED,TRACK_MEDIAN_SPEED,TRACK_STD_SPEED,TRACK_MEAN_QUALITY,TRACK_MAX_QUALITY,TRACK_MIN_QUALITY,TRACK_MEDIAN_QUALITY,TRACK_STD_QUALITY
Track_7112,7112,2,0,0,0,0,0,0.060,35.280,35.340,0.518,7112,6.056,17.857,0,8.637,8.637,8.637,8.637,NaN,3.195,3.290,3.100,3.290,0.095
Track_7113,7113,10,1,1,0,0,0,0.600,35.280,35.880,1.196,7113,11.871,1.120,0,4.029,9.991,0.697,3.735,2.642,3.697,4.524,3.117,3.544,0.540
Track_7114,7114,2,0,0,0,0,0,0.060,34.680,34.740,0.577,7114,15.564,11.594,0,9.609,9.609,9.609,9.609,NaN,3.541,3.746,3.337,3.746,0.204
Track_7115,7115,3,0,0,0,0,0,0.120,34.620,34.740,0.456,7115,18.622,12.748,0,5.075,5.594,4.557,5.594,0.733,3.538,4.201,3.143,3.270,0.472
Track_7116,7116,2,0,0,0,0,0,0.060,34.680,34.740,0.112,7116,19.547,15.315,0,1.874,1.874,1.874,1.874,NaN,3.529,3.629,3.429,3.629,0.100
Track_7117,7117,3,0,0,0,0,0,0.120,34.620,34.740,0.169,7117,5.405,15.581,0,4.761,4.902,4.620,4.902,0.199,3.335,3.538,3.127,3.339,0.168
Track_7118,7118,2,0,0,0,0,0,0.060,34.680,34.740,0.299,7118,7.965,20.725,0,4.989,4.989,4.989,4.989,NaN,3.675,3.957,3.393,3.957,0.282
Track_7119,7119,3,0,0,0,0,0,0.120,34.620,34.740,0.409,7119,10.730,6.479,0,4.556,5.529,3.583,5.529,1.377,3.993,5.004,3.096,3.878,0.783
Track_7120,7120,3,0,0,0,0,0,0.120,34.620,34.740,0.341,7120,15.353,7.567,0,2.856,5.085,0.627,5.085,3.152,3.557,3.747,3.294,3.629,0.192
Track_7121,7121,2,0,0,0,0,0,0.060,34.680,34.740,0.203,7121,18.631,9.707,0,3.378,3.378,3.378,3.378,NaN,3.343,3.527,3.159,3.527,0.184
